Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1455208578.4098198,0,1455208578,409819935,,0.516429,1.266657,-1.517929,0.068423,0.036114,0.132819,-0.988116
1455208578.42232,0,1455208578,422319936,,0.517975,1.268799,-1.507873,0.075657,0.035287,0.146781,-0.98564
1455208578.43482,0,1455208578,434819936,,0.5202399999999999,1.2705229999999998,-1.497976,0.071301,0.027892,0.133495,-0.988088
1455208578.44732,0,1455208578,447319935,,0.52155,1.272068,-1.4871,0.07486799999999999,0.032743,0.145589,-0.985965
1455208578.45982,0,1455208578,459819936,,0.523324,1.273601,-1.476402,0.077277,0.034054,0.138996,-0.9866860000000001
1455208578.4723198,0,1455208578,472319935,,0.526536,1.274326,-1.467627,0.049628,0.026517000000000002,0.10553599999999999,-0.992822
1455208578.48482,0,1455208578,484819936,,0.527036,1.2779479999999999,-1.455511,0.084053,0.031157,0.131349,-0.987275
1455208578.49732,0,1455208578,497319936,,0.528325,1.279166,-1.4453049999999998,0.076218,0.033802,0.143239,-0.9861700000000001
1455208578.50982,0,1455208578,509819935,,0.5303760000000001,1.281592,-1.434606,0.07725900000000001,0.033561,0.139427,-0.986643
1455208578.52232,0,1455208578,522319936,,0.531532,1.282633,-1.424084,0.070868,0.035085000000000005,0.13959100000000002,-0.9870469999999999
1455208578.5348198,0,1455208578,534819935,,0.533122,1.2848959999999998,-1.413347,0.075761,0.031277,0.14541700000000002,-0.9859700000000001
1455208578.54732,0,1455208578,547319936,,0.535111,1.2874809999999999,-1.4029399999999999,0.076145,0.031593,0.13903,-0.986851
1455208578.55982,0,1455208578,559819936,,0.536621,1.289865,-1.392694,0.07719,0.031451,0.142958,-0.9862129999999999
1455208578.57232,0,1455208578,572319935,,0.538678,1.292192,-1.382123,0.080203,0.0322,0.139086,-0.986502
1455208578.58482,0,1455208578,584819936,,0.53978,1.293433,-1.371055,0.072037,0.031833,0.138684,-0.9872
1455208578.5973198,0,1455208578,597319935,,0.542454,1.295095,-1.362156,0.051997,0.023987,0.11681199999999999,-0.991502
1455208578.60982,0,1455208578,609819936,,0.543155,1.2977100000000001,-1.349827,0.075449,0.030507,0.145957,-0.9859379999999999
1455208578.62232,0,1455208578,622319936,,0.545078,1.2999290000000001,-1.339229,0.075436,0.030610000000000002,0.133571,-0.98769
1455208578.63482,0,1455208578,634819935,,0.546721,1.302697,-1.328953,0.07896,0.031152999999999997,0.140528,-0.986431
1455208578.64732,0,1455208578,647319936,,0.548365,1.304419,-1.318646,0.069247,0.023743,0.130447,-0.988749
1455208578.6598198,0,1455208578,659819935,,0.549642,1.306762,-1.307107,0.074814,0.029870999999999998,0.14239100000000002,-0.986527
1455208578.67232,0,1455208578,672319936,,0.552138,1.3088090000000001,-1.298082,0.054426,0.022516,0.11649300000000001,-0.9914440000000001
1455208578.68482,0,1455208578,684819936,,0.553185,1.312254,-1.2871,0.072385,0.024908,0.12925,-0.9886530000000001
1455208578.69732,0,1455208578,697319935,,0.554794,1.315513,-1.275056,0.080724,0.030639,0.139131,-0.986503
1455208578.70982,0,1455208578,709819936,,0.55599,1.318376,-1.264314,0.077932,0.03185,0.141125,-0.986405
1455208578.7223198,0,1455208578,722319935,,0.557469,1.321382,-1.253282,0.07386000000000001,0.030355,0.137388,-0.987293
1455208578.73482,0,1455208578,734819936,,0.558873,1.324782,-1.242393,0.076714,0.03,0.137203,-0.9871120000000001
1455208578.74732,0,1455208578,747319936,,0.560423,1.328543,-1.231851,0.078037,0.028946,0.143648,-0.986123
1455208578.75982,0,1455208578,759819935,,0.562001,1.33165,-1.2205139999999999,0.071866,0.028068,0.13408499999999998,-0.9879620000000001
1455208578.77232,0,1455208578,772319936,,0.564423,1.334991,-1.211597,0.050816,0.01898,0.114727,-0.991915
1455208578.7848198,0,1455208578,784819935,,0.564901,1.339653,-1.199064,0.075248,0.029419,0.137739,-0.987168
1455208578.79732,0,1455208578,797319936,,0.566242,1.343789,-1.18842,0.07923999999999999,0.027699,0.14636300000000002,-0.985663
1455208578.80982,0,1455208578,809819936,,0.568026,1.347596,-1.177698,0.082179,0.028600999999999998,0.139752,-0.9863559999999999
1455208578.82232,0,1455208578,822319935,,0.5693520000000001,1.350862,-1.166463,0.074331,0.028316,0.134445,-0.9877229999999999
1455208578.83482,0,1455208578,834819936,,0.571701,1.354423,-1.15755,0.053319000000000005,0.017735,0.114021,-0.9918879999999999
1455208578.8473198,0,1455208578,847319935,,0.572179,1.359129,-1.1451129999999998,0.08062899999999999,0.029113999999999998,0.13401300000000002,-0.987265
1455208578.85982,0,1455208578,859819936,,0.573803,1.363728,-1.134443,0.084516,0.026293,0.13713599999999998,-0.98659
1455208578.87232,0,1455208578,872319936,,0.574832,1.367412,-1.123289,0.083955,0.026889999999999997,0.138051,-0.9864940000000001
1455208578.88482,0,1455208578,884819935,,0.576386,1.3716030000000001,-1.112501,0.081697,0.028725,0.130642,-0.98764
